license_year,license_number,animals_name,species,primary_breed,secondary_breed,weight_kg
2018,LNS150171,Norman,Dog,Boxer,Mix,29.15
2017,LN20666,Henry,Dog,Bichon Frise,Havanese,23.7
2018,LN8000658,Vega Williams,Dog,Mix,Unknown,21.13
2018,LN730940,Molly,Dog,Australian Shepherd,Mix,18.7
2016,LN964607,Gremy,Dog,"Chihuahua, Short Coat",Terrier,20.36
2018,LNS117115,Shadow,Dog,"Retriever, Labrador",Unknown,11.51
2018,LNS141621,Gaspode,Dog,Lhasa Apso,Unknown,23.3
2016,LN82467,Juno,Dog,Basenji,Unknown,6.89
2018,LN444211,Nelly,Dog,Pug,Beagle,16.78
2018,LNS123412,Wallingford,Dog,"Schnauzer, Miniature","Terrier, Silky",16.24
2018,LN444317,Narla,Dog,"Chihuahua, Short Coat",Unknown,29.91
2018,LN956537,Friday,Dog,Havanese,Unknown,22.35
2018,LN731014,Gemma,Dog,"Retriever, Labrador","Poodle, Standard",23.06
2017,LNS136927,Hawk,Dog,Chow Chow,Unknown,21.91
2018,LNS142280,Lucy,Dog,Shiba Inu,Unknown,21.46
2017,LN820082,Keke,Dog,Chinese Shar-Pei,Doberman Pinscher,30.14
2018,LN829593,Rusty,Dog,Coton de Tulear,Unknown,22.7
2018,LNS140453,Bear,Dog,"Retriever, Golden","Poodle, Standard",18.2
2018,LNS119960,Charlie,Dog,"Terrier, Yorkshire","Bulldog, American",14.75
2017,LNS130739,Maxwell,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",31.06
2018,LN8002090,Madoka,Dog,Border Collie,Australian Cattle Dog,21.4
2018,LN8000712,Tiberius,Cat,Siberian,Unknown,4.73
2018,LNS135817,Jade,Cat,Russian Blue,Unknown,4.46
2018,LNS116961,Boo,Cat,Himalayan,Mix,4.66
2018,LN445210,Cricket,Cat,Maine Coon,Bengal,4.63
2017,LN273434,Knowlee,Cat,Domestic Longhair,Unknown,4.49
2017,LNS100900,Sophie,Cat,Domestic Shorthair,Mix,4.51
2018,LN8003462,Spencer,Cat,Domestic Longhair,Mix,4.24
2017,LN571784,Julie,Cat,Domestic Shorthair,Unknown,4.58
2018,LNS114782,Pumpkin,Cat,Domestic Shorthair,Mix,4.33
2018,LNS109674,Miss Emily,Cat,Domestic Longhair,Mix,4.34
2018,LN8002207,Snerfu,Cat,Maine Coon,Mix,4.42
2018,LNS139692,Sadie,Dog,"Terrier, American Pit Bull",Mix,22.65
2018,LN727071,Rocky,Dog,"Poodle, Standard","Retriever, Golden",21.13
2018,LNS126133,Pepper,Dog,Australian Cattle Dog,Unknown,25.56
2017,LN437192,Tati,Dog,"Poodle, Miniature",Maltese,20.38
2018,LN83704,Lucille,Dog,Bulldog,Unknown,20.48
2018,LNS116225,Jonesy,Dog,"Terrier, Jack Russell",Unknown,29.35
2018,LN8000164,Lucy,Dog,Shiba Inu,Unknown,20.75
2018,LNS140445,Milo,Dog,"Retriever, Labrador",German Shepherd,17.61
2018,LNS145495,Rowan,Dog,"Terrier, American Pit Bull",Beagle,21.25
2018,LNS135890,Zac,Dog,"Poodle, Standard","Retriever, Golden",30.52
